delivery_id,order_date,ship_date,promised_date,delivered_date,client_id,carrier_id,warehouse_id,region_id,service_level,distance_km,shipping_cost_usd,is_late,delay_days
1,2025-11-24,2025-11-26,2025-11-29,2025-12-03,301,103,202,1,Standard,109,20.14,1,4
2,2025-01-17,2025-01-19,2025-01-21,2025-01-21,301,102,202,1,Standard,32,10.21,0,0
3,2025-10-07,2025-10-07,2025-10-09,2025-10-09,304,104,205,2,Standard,11,8.87,0,0
4,2025-06-24,2025-06-25,2025-06-30,2025-06-30,303,102,203,2,Standard,394,50.86,0,0
5,2025-01-23,2025-01-24,2025-01-27,2025-01-27,306,105,201,4,Express,392,55.51,0,0
6,2025-11-13,2025-11-14,2025-11-16,2025-11-16,307,105,202,3,Standard,51,13.09,0,0
7,2025-04-30,2025-05-01,2025-05-06,2025-05-06,307,104,203,1,Standard,378,49.34,0,0
8,2025-05-17,2025-05-18,2025-05-23,2025-05-23,306,105,202,1,Standard,255,34.58,0,0
9,2025-11-24,2025-11-24,2025-11-25,2025-11-25,306,102,203,5,Express,62,16.81,0,0
10,2025-07-25,2025-07-26,2025-07-29,2025-07-29,303,102,205,1,Express,327,48.52,0,0
11,2025-11-26,2025-11-28,2025-12-03,2025-12-03,304,103,202,2,Standard,579,75.71,0,0
12,2025-10-26,2025-10-26,2025-10-29,2025-10-31,304,102,202,3,Standard,98,19.29,1,2
13,2025-12-15,2025-12-17,2025-12-22,2025-12-22,304,101,204,5,Standard,484,64.25,0,0
14,2025-01-06,2025-01-07,2025-01-10,2025-01-11,306,105,203,1,Express,353,51.03,1,1
15,2025-05-15,2025-05-17,2025-05-20,2025-05-20,305,105,201,2,Express,310,50.25,0,0
16,2025-03-20,2025-03-20,2025-03-23,2025-03-26,303,105,205,2,Express,618,84.1,1,3
17,2025-06-07,2025-06-07,2025-06-09,2025-06-09,302,102,205,1,Express,92,23.43,0,0
18,2025-09-30,2025-10-02,2025-10-04,2025-10-04,307,102,204,2,Express,174,30.47,0,0
19,2025-04-19,2025-04-21,2025-04-24,2025-04-24,305,103,204,2,Express,387,57.07,0,0
20,2025-05-07,2025-05-07,2025-05-10,2025-05-17,302,103,201,1,Standard,240,35.33,1,7
21,2025-01-31,2025-02-01,2025-02-04,2025-02-04,302,101,203,1,Standard,248,34.43,0,0
22,2025-03-09,2025-03-09,2025-03-14,2025-03-21,306,105,204,5,Standard,489,66.52,1,7
23,2025-08-09,2025-08-11,2025-08-12,2025-08-16,303,104,204,4,Express,60,19.24,1,4
24,2025-06-23,2025-06-23,2025-06-28,2025-06-28,307,102,202,1,Standard,464,59.52,0,0
25,2025-05-08,2025-05-08,2025-05-13,2025-05-13,307,104,205,1,Standard,558,74.98,0,0
26,2025-05-02,2025-05-02,2025-05-07,2025-05-07,302,104,204,4,Standard,415,58.21,0,0
27,2025-07-19,2025-07-20,2025-07-25,2025-07-28,303,103,204,4,Standard,574,75.85,1,3
28,2025-04-22,2025-04-23,2025-04-25,2025-04-25,301,105,201,5,Standard,63,10.86,0,0
29,2025-09-29,2025-10-01,2025-10-02,2025-10-02,302,105,201,1,Express,75,20.57,0,0
30,2025-07-26,2025-07-28,2025-08-02,2025-08-02,301,102,205,5,Standard,639,80.17,0,0
31,2025-09-25,2025-09-27,2025-10-02,2025-10-02,303,102,203,3,Standard,410,52.99,0,0
32,2025-06-11,2025-06-11,2025-06-16,2025-06-16,307,101,204,1,Standard,581,78.7,0,0
33,2025-09-17,2025-09-18,2025-09-21,2025-09-21,303,103,201,2,Express,383,55.67,0,0
34,2025-12-27,2025-12-29,2026-01-03,2026-01-05,303,105,201,5,Standard,572,73.44,1,2
35,2025-05-16,2025-05-17,2025-05-22,2025-05-22,301,105,202,1,Standard,624,79.14,0,0
36,2025-11-21,2025-11-22,2025-11-24,2025-11-24,307,105,204,3,Standard,57,10.39,0,0
37,2025-01-23,2025-01-24,2025-01-29,2025-01-29,301,102,203,3,Standard,457,61.15,0,0
38,2025-02-27,2025-02-28,2025-03-03,2025-03-06,301,105,201,2,Express,601,83.44,1,3
39,2025-07-06,2025-07-08,2025-07-11,2025-07-11,307,103,202,1,Standard,110,18.32,0,0
40,2025-07-28,2025-07-28,2025-07-30,2025-08-02,305,102,202,2,Express,186,35.61,1,3
41,2025-07-30,2025-07-30,2025-08-01,2025-08-01,307,103,202,2,Express,115,24.1,0,0
42,2025-04-24,2025-04-26,2025-04-28,2025-04-28,302,103,203,4,Express,238,37.9,0,0
43,2025-06-18,2025-06-20,2025-06-25,2025-06-25,303,103,203,1,Standard,414,56.76,0,0
44,2025-01-15,2025-01-17,2025-01-20,2025-01-20,301,102,205,3,Express,276,41.35,0,0
45,2025-06-10,2025-06-10,2025-06-15,2025-06-15,304,105,201,5,Standard,595,75.54,0,0
46,2025-01-01,2025-01-03,2025-01-08,2025-01-08,305,102,203,5,Standard,343,47.9,0,0
47,2025-06-03,2025-06-03,2025-06-08,2025-06-08,305,104,203,3,Standard,307,43.17,0,0
48,2025-07-14,2025-07-15,2025-07-20,2025-07-20,306,105,205,2,Standard,566,75.92,0,0
49,2025-08-09,2025-08-11,2025-08-16,2025-08-16,307,105,203,5,Standard,457,61.89,0,0
50,2025-03-28,2025-03-28,2025-04-02,2025-04-02,306,103,205,1,Standard,639,81.69,0,0
51,2025-04-26,2025-04-26,2025-05-01,2025-05-01,307,102,201,2,Standard,491,65.59,0,0
52,2025-11-19,2025-11-19,2025-11-22,2025-11-22,305,104,204,2,Standard,156,25.66,0,0
53,2025-02-24,2025-02-26,2025-03-01,2025-03-01,307,102,202,4,Express,535,74.99,0,0
54,2025-03-04,2025-03-05,2025-03-08,2025-03-08,304,104,205,2,Express,614,83.58,0,0
55,2025-09-16,2025-09-16,2025-09-21,2025-09-21,304,104,202,5,Standard,491,64.62,0,0
56,2025-05-22,2025-05-22,2025-05-25,2025-05-25,307,104,202,5,Standard,84,17.36,0,0
57,2025-06-13,2025-06-13,2025-06-16,2025-06-16,305,102,202,1,Standard,161,26.56,0,0
58,2025-06-19,2025-06-21,2025-06-26,2025-06-26,305,104,201,4,Standard,435,57.54,0,0
59,2025-01-11,2025-01-12,2025-01-17,2025-01-17,307,104,204,5,Standard,365,48.59,0,0
60,2025-08-03,2025-08-03,2025-08-08,2025-08-08,305,105,202,5,Standard,284,39.7,0,0
61,2025-12-09,2025-12-10,2025-12-13,2025-12-13,306,102,204,4,Express,642,88.24,0,0
62,2025-12-06,2025-12-07,2025-12-09,2025-12-09,301,104,202,1,Express,191,31.22,0,0
63,2025-08-21,2025-08-21,2025-08-24,2025-08-24,303,104,203,3,Express,436,61.83,0,0
64,2025-10-04,2025-10-04,2025-10-05,2025-10-06,301,102,201,3,Express,46,18.05,1,1
65,2025-11-15,2025-11-16,2025-11-21,2025-11-21,302,102,204,2,Standard,582,78.53,0,0
66,2025-07-08,2025-07-08,2025-07-10,2025-07-10,302,105,201,5,Express,172,34.43,0,0
67,2025-06-09,2025-06-11,2025-06-16,2025-06-16,305,104,202,4,Standard,647,82.1,0,0
68,2025-12-17,2025-12-17,2025-12-22,2025-12-22,305,105,201,1,Standard,443,60.13,0,0
69,2025-06-24,2025-06-25,2025-06-30,2025-06-30,301,104,201,4,Standard,375,51.81,0,0
70,2025-08-11,2025-08-12,2025-08-15,2025-08-15,302,103,205,5,Express,556,79.37,0,0
71,2025-10-31,2025-11-01,2025-11-06,2025-11-06,303,102,201,3,Standard,466,60.38,0,0
72,2025-12-09,2025-12-10,2025-12-12,2025-12-12,304,101,204,3,Express,191,33.85,0,0
73,2025-06-24,2025-06-26,2025-06-29,2025-06-29,303,103,205,5,Standard,200,27.51,0,0
74,2025-10-12,2025-10-12,2025-10-14,2025-10-14,307,104,204,2,Standard,22,6.2,0,0
75,2025-05-05,2025-05-07,2025-05-12,2025-05-12,303,103,204,5,Standard,357,48.39,0,0
76,2025-06-30,2025-07-01,2025-07-04,2025-07-09,306,103,203,4,Standard,128,22.69,1,5
77,2025-12-20,2025-12-22,2025-12-27,2025-12-27,302,102,204,2,Standard,608,81.82,0,0
78,2025-02-21,2025-02-23,2025-02-28,2025-03-01,307,103,202,2,Standard,314,40.76,1,1
79,2025-01-28,2025-01-29,2025-01-31,2025-01-31,305,102,204,3,Standard,17,8.48,0,0
80,2025-06-24,2025-06-24,2025-06-26,2025-06-26,302,103,204,1,Standard,71,13.92,0,0
81,2025-12-18,2025-12-18,2025-12-20,2025-12-20,301,102,205,2,Express,92,25.0,0,0
82,2025-08-02,2025-08-03,2025-08-06,2025-08-06,305,105,202,5,Express,394,57.98,0,0
83,2025-10-29,2025-10-29,2025-11-01,2025-11-01,304,105,205,3,Standard,106,21.41,0,0
84,2025-05-16,2025-05-17,2025-05-20,2025-05-20,306,102,202,1,Standard,81,13.66,0,0
85,2025-11-01,2025-11-02,2025-11-07,2025-11-09,304,101,202,3,Standard,294,42.5,1,2
86,2025-05-16,2025-05-17,2025-05-20,2025-05-20,307,102,204,5,Standard,235,35.09,0,0
87,2025-02-06,2025-02-07,2025-02-12,2025-02-19,301,103,205,2,Standard,587,78.97,1,7
88,2025-06-05,2025-06-05,2025-06-10,2025-06-10,306,103,205,4,Standard,453,57.84,0,0
89,2025-06-15,2025-06-15,2025-06-20,2025-06-20,305,101,201,3,Standard,594,77.8,0,0
90,2025-12-11,2025-12-13,2025-12-15,2025-12-15,307,105,201,3,Express,184,32.9,0,0
91,2025-05-23,2025-05-24,2025-05-27,2025-05-27,302,104,204,5,Express,486,68.41,0,0
92,2025-02-23,2025-02-24,2025-03-01,2025-03-01,307,103,204,2,Standard,300,42.98,0,0
93,2025-10-09,2025-10-10,2025-10-13,2025-10-13,301,101,203,4,Standard,123,23.58,0,0
94,2025-01-01,2025-01-02,2025-01-07,2025-01-07,306,104,204,5,Standard,535,69.37,0,0
95,2025-01-27,2025-01-28,2025-01-31,2025-02-07,302,105,202,3,Express,453,67.65,1,7
96,2025-11-08,2025-11-08,2025-11-13,2025-11-13,307,102,203,2,Standard,570,73.85,0,0
97,2025-02-28,2025-03-01,2025-03-04,2025-03-04,304,102,204,1,Express,303,47.41,0,0
98,2025-09-05,2025-09-07,2025-09-10,2025-09-10,304,104,205,2,Standard,200,32.53,0,0
99,2025-03-11,2025-03-11,2025-03-16,2025-03-16,307,103,204,1,Standard,524,67.48,0,0
100,2025-06-02,2025-06-03,2025-06-06,2025-06-06,307,105,204,5,Express,462,66.67,0,0
101,2025-10-06,2025-10-06,2025-10-08,2025-10-08,304,103,202,4,Express,249,41.31,0,0
102,2025-07-30,2025-07-30,2025-08-02,2025-08-07,301,104,204,3,Standard,160,25.17,1,5
103,2025-06-19,2025-06-19,2025-06-24,2025-06-24,307,104,201,1,Standard,472,59.73,0,0
104,2025-12-02,2025-12-03,2025-12-08,2025-12-08,302,104,203,1,Standard,412,56.34,0,0
105,2025-10-01,2025-10-03,2025-10-05,2025-10-05,304,104,205,3,Standard,75,13.41,0,0
106,2025-04-27,2025-04-29,2025-05-01,2025-05-01,306,104,201,1,Express,107,23.5,0,0
107,2025-01-15,2025-01-17,2025-01-22,2025-01-22,301,101,203,3,Standard,446,57.39,0,0
108,2025-12-16,2025-12-16,2025-12-21,2025-12-21,307,102,202,2,Standard,396,54.24,0,0
109,2025-10-26,2025-10-27,2025-10-29,2025-10-29,302,104,203,2,Standard,14,10.07,0,0
110,2025-12-13,2025-12-14,2025-12-17,2025-12-17,305,101,204,2,Express,606,82.51,0,0
111,2025-08-22,2025-08-24,2025-08-26,2025-08-26,307,102,204,3,Express,114,23.1,0,0
112,2025-06-01,2025-06-03,2025-06-08,2025-06-08,306,101,204,3,Standard,584,78.27,0,0
113,2025-11-07,2025-11-07,2025-11-12,2025-11-12,306,103,202,4,Standard,365,48.11,0,0
114,2025-12-14,2025-12-15,2025-12-20,2025-12-20,307,101,201,2,Standard,456,57.92,0,0
115,2025-02-16,2025-02-17,2025-02-22,2025-02-22,303,104,202,3,Standard,557,75.1,0,0
116,2025-05-20,2025-05-21,2025-05-24,2025-05-24,307,103,204,2,Express,307,49.32,0,0
117,2025-08-28,2025-08-29,2025-09-01,2025-09-06,301,102,204,2,Express,575,79.19,1,5
118,2025-03-05,2025-03-05,2025-03-10,2025-03-10,304,103,205,3,Standard,385,49.85,0,0
119,2025-11-14,2025-11-15,2025-11-20,2025-11-20,305,105,202,3,Standard,480,66.06,0,0
120,2025-03-01,2025-03-03,2025-03-05,2025-03-09,302,101,203,1,Express,123,23.34,1,4
121,2025-07-09,2025-07-11,2025-07-14,2025-07-18,306,104,205,5,Standard,163,27.87,1,4
122,2025-11-12,2025-11-13,2025-11-18,2025-11-25,304,101,203,3,Standard,460,63.9,1,7
123,2025-07-08,2025-07-09,2025-07-12,2025-07-14,305,101,204,3,Standard,130,24.29,1,2
124,2025-11-25,2025-11-27,2025-11-30,2025-11-30,306,101,201,5,Express,254,44.41,0,0
125,2025-10-11,2025-10-13,2025-10-16,2025-10-26,302,102,202,5,Standard,156,26.45,1,10
126,2025-03-16,2025-03-17,2025-03-19,2025-03-19,302,103,202,5,Standard,31,7.51,0,0
127,2025-05-02,2025-05-04,2025-05-07,2025-05-08,305,101,202,3,Standard,134,23.53,1,1
128,2025-09-01,2025-09-03,2025-09-08,2025-09-18,304,105,205,3,Standard,520,66.73,1,10
129,2025-12-04,2025-12-05,2025-12-10,2025-12-10,305,104,201,3,Standard,495,67.48,0,0
130,2025-09-09,2025-09-10,2025-09-13,2025-09-13,306,101,201,4,Standard,156,22.11,0,0
131,2025-10-27,2025-10-28,2025-11-02,2025-11-09,305,104,205,3,Standard,469,62.31,1,7
132,2025-02-28,2025-03-01,2025-03-04,2025-03-04,307,102,204,5,Standard,238,34.04,0,0
133,2025-02-18,2025-02-19,2025-02-22,2025-03-04,303,103,203,4,Standard,161,26.44,1,10
134,2025-02-13,2025-02-15,2025-02-18,2025-02-18,301,101,203,4,Express,574,77.24,0,0
135,2025-12-10,2025-12-12,2025-12-13,2025-12-13,301,103,204,4,Express,57,20.65,0,0
136,2025-02-23,2025-02-24,2025-02-27,2025-02-27,305,102,202,5,Standard,234,36.16,0,0
137,2025-07-08,2025-07-10,2025-07-13,2025-07-13,301,105,202,3,Express,579,83.33,0,0
138,2025-11-26,2025-11-27,2025-12-02,2025-12-02,305,105,203,1,Standard,284,41.3,0,0
139,2025-06-29,2025-07-01,2025-07-03,2025-07-03,301,102,205,2,Standard,76,12.97,0,0
140,2025-02-16,2025-02-17,2025-02-22,2025-02-22,306,102,204,5,Standard,354,46.42,0,0
141,2025-10-18,2025-10-18,2025-10-23,2025-10-23,305,101,202,1,Standard,637,79.74,0,0
142,2025-12-05,2025-12-05,2025-12-08,2025-12-08,304,105,204,4,Standard,225,34.53,0,0
143,2025-02-26,2025-02-28,2025-03-02,2025-03-04,303,104,205,5,Standard,51,10.44,1,2
144,2025-06-04,2025-06-05,2025-06-07,2025-06-11,302,103,203,2,Standard,12,7.42,1,4
145,2025-09-30,2025-10-02,2025-10-05,2025-10-06,306,105,205,2,Express,367,52.47,1,1
146,2025-08-24,2025-08-25,2025-08-30,2025-09-02,301,105,204,3,Standard,432,56.58,1,3
147,2025-03-29,2025-03-31,2025-04-03,2025-04-03,307,104,203,5,Standard,113,18.02,0,0
148,2025-02-10,2025-02-12,2025-02-15,2025-02-20,304,103,202,3,Standard,177,24.7,1,5
149,2025-04-10,2025-04-10,2025-04-13,2025-04-13,307,103,202,3,Standard,154,23.02,0,0
150,2025-12-02,2025-12-04,2025-12-07,2025-12-07,301,104,204,2,Express,598,82.45,0,0
151,2025-11-16,2025-11-17,2025-11-22,2025-11-22,303,102,204,3,Standard,457,61.63,0,0
152,2025-06-30,2025-07-01,2025-07-03,2025-07-13,305,103,204,1,Standard,63,12.77,1,10
153,2025-02-16,2025-02-18,2025-02-23,2025-02-23,305,105,204,5,Standard,572,77.37,0,0
154,2025-08-19,2025-08-19,2025-08-24,2025-08-24,307,102,203,5,Standard,518,66.07,0,0
155,2025-06-25,2025-06-27,2025-07-02,2025-07-02,306,105,202,1,Standard,453,63.31,0,0
156,2025-03-23,2025-03-23,2025-03-28,2025-03-28,303,103,204,3,Standard,351,49.19,0,0
157,2025-11-28,2025-11-30,2025-12-05,2025-12-05,303,103,201,1,Standard,400,52.7,0,0
